"","Country","Country_code","Year","ln_CO2","ln_IU","ln_MIS","ln_OP","ln_GDP","ln_TOG","ln_REC","ln_ERT","ln_R","ln_GEE","ln_LS","ln_LE","ln_ME","ln_HDI","ln_AE","ln_SE","ln_TR","ln_UP","ln_UPP","ln_MAN","ln_IND","ln_FDI","ln_Exp","ln_Man_2","ln_FDI_2"
"Australia-1990","Australia",1,"1990",2.7375095218908,-0.535981544000109,0.0814295056245869,NA,9.81190444023532,3.47048452355279,2.08063797059122,NA,NA,2.6094607563891,NA,4.34373573301432,NA,-0.145025772050258,4.60517018598809,NA,3.47368894336621,16.4951099114831,4.44773244301658,3.21493462757963,3.21315207328947,4.09847053691289,25.0267302328208,2.62383199795539,2.71575581134684
"Australia-1991","Australia",1,"1991",2.72904045433201,0.0927650263746948,0.52328047746403,NA,9.84482939297306,3.47161137093844,2.10966423274978,NA,NA,2.64371144842105,NA,4.34737837871623,NA,-0.142716302201595,4.60517018598809,NA,3.49984332494929,16.50750488392,4.44738122898314,3.17299890151977,3.15030749199121,4.06617814537647,25.1333998205336,2.53102111035284,0.801279424409727
"Australia-1992","Australia",1,"1992",2.73149912716411,0.570281513751959,1.04594897939649,NA,9.83223615486468,3.49783559435861,2.01709674216846,NA,NA,2.58052129433738,NA,4.34870313288423,NA,-0.140412153716745,4.60517018598809,NA,3.56858915289254,16.517318248411,4.44599858909284,3.14040950993713,3.10912601523736,4.07839159878888,25.2237383356811,2.53194380131753,1.51810258362969
"Australia-1993","Australia",1,"1993",2.73978025240917,0.680371425031064,1.36441880562686,NA,9.78132644711628,3.5666851758729,2.15373628631044,NA,NA,2.70917757136293,NA,4.35514412601047,NA,-0.135819723142535,4.60517018598809,4.46939708260649,3.59802781273911,16.5247116298939,4.44449661159828,3.33992363799049,3.3147807981708,4.08150016007002,25.2952289517357,2.55509062327248,1.70195002498883
"Australia-1994","Australia",1,"1994",2.75592665263219,0.802943408185458,1.92451342174515,NA,9.80531176037616,3.59617452582484,2.11141814426402,9.10573068548669,NA,2.66005112103795,NA,4.35514412601047,NA,-0.135819723142535,4.60517018598809,4.46907574011845,3.63235010707585,16.5328265652571,4.44298061401088,3.41905772537461,3.36844937447094,4.07606966781126,25.3858796256651,2.58057439805658,1.38115064992841
"Australia-1995","Australia",1,"1995",2.77985847674325,1.01510549544456,2.52200015572533,NA,9.92557774994905,3.62983596066155,2.1063032284771,9.23361539489508,NA,2.69260213076476,NA,4.35451755957394,NA,-0.125563222975346,4.60517018598809,4.4708066758212,3.64629374370247,16.5424338695284,4.4414505359138,3.33948298896081,3.35228922900299,4.11311083340224,25.429064079132,2.57379130974409,3.60429377655584
"Australia-1996","Australia",1,"1996",2.80369734302743,1.18639416236002,3.08688921011685,NA,9.99971066646025,3.64377792481967,2.18222041580752,9.31213945324863,NA,2.65648462072756,NA,4.35770895178858,NA,-0.123298216344494,4.60517018598809,4.48964193140123,3.63955301367409,16.5530281655458,4.43990631611558,3.3441840022179,3.32899925019572,4.0719212722458,25.5240142275173,2.54436923918722,1.13726052021176
"Australia-1997","Australia",1,"1997",2.81601075898475,2.79541119574624,3.21352483261094,NA,10.0709106906759,3.6371480882025,2.20610093634066,9.40619740944504,NA,NA,NA,4.36285003089628,NA,-0.119910296672558,4.60517018598809,NA,3.69063865581084,16.5623019983162,4.43835970801404,3.31724153974983,3.2733955593733,4.08410932914167,25.6273251944349,2.50921587031462,1.85670403677892
"Australia-1998","Australia",1,"1998",2.8713328284732,3.4279444495677,3.27482092939044,NA,9.97480236690169,3.68873094167787,2.15118909655423,9.32698587199527,NA,NA,NA,4.36477501907144,NA,-0.115410851511328,4.60517018598809,NA,3.66700818715735,16.5706966668191,4.43678703669149,3.37971649124669,3.40172756440973,4.08485515671901,25.6720986579214,2.52273036556121,1.90101452622214
"Australia-1999","Australia",1,"1999",2.87576335476468,3.70828454897319,3.51419362630022,NA,9.93782678904997,3.66499940920055,2.1409215372322,9.30734094045004,NA,NA,NA,4.3685830142614,NA,-0.112049503808623,4.60517018598809,NA,3.71427937747667,16.5800612491146,4.43521188817754,3.34834267689089,3.34490939558441,4.06216746640261,25.6910715805776,2.48020773489197,0.567790644711881
"Australia-2000","Australia",1,"2000",2.88137293465298,3.8449450623663,3.80712004018927,NA,9.99212925958435,3.71276654311282,2.13060982825424,9.23001063757176,NA,2.59227713465085,NA,4.37240734658099,NA,-0.109814866007207,4.60517018598809,NA,3.79245555865679,16.5899045871564,4.43361051183817,3.30945847762073,3.33985481423755,4.1127350360516,25.7853978991811,2.44775077612134,3.58132311772156
"Australia-2001","Australia",1,"2001",2.88660436396578,3.96441176174811,4.05757944116652,NA,9.88744265059245,3.78986342764935,2.12465388450138,9.14469617313558,NA,NA,NA,4.37744297500622,NA,-0.105360515657826,4.60517018598809,NA,3.72707266841718,16.6011403742783,4.4320065669789,3.34599761164129,3.17290934331246,4.10028329223653,25.8682853730999,2.3965239371993,2.82506987067408
"Australia-2002","Australia",1,"2002",2.8973468584516,NA,4.17523225187472,NA,9.91794151629654,3.72501078091525,2.16791018966744,9.26034503643672,NA,NA,NA,4.38123363740782,NA,-0.103140758919513,4.60517018598809,NA,3.69625575717638,16.6139653503652,4.43345616978024,3.36026690638372,3.37067902053448,4.11475693241336,25.8633647570012,2.35603073442182,3.7050135609231
